Daerah,Kecamatan,harga,kamar_tidur,luas_bangunan,luas_lahan
Banguntapan, Bantul,375.000.000,2,37 m²,55 m²
Depok, Sleman,975.000.000,3,180 m²,100 m²
Kasihan, Bantul,495.000.000,2,65 m²,124 m²
Depok, Sleman,1.650.000.000,3,140 m²,142 m²
Kalasan, Sleman,715.000.000,2,45 m²,80 m²
Gamping, Sleman,875.000.000,3,130 m²,148 m²
Depok, Sleman,3.300.000.000,5,300 m²,604 m²
Srandakan, Bantul,825.000.000,3,60 m²,926 m²
Gamping, Sleman,2.200.000.000,4,300 m²,214 m²
Kalasan, Sleman,780.000.000,3,80 m²,131 m²
Depok, Sleman,790.000.000,3,55 m²,104 m²
Kalasan, Sleman,739.000.000,2,45 m²,84 m²
Kalasan, Sleman,850.000.000,3,108 m²,130 m²
Ngaglik, Sleman,1.750.000.000,4,110 m²,300 m²
Ngaglik, Sleman,1.400.000.000,6,198 m²,290 m²
Playen, Gunung Kidul,270.000.000,2,45 m²,78 m²
Ngaglik, Sleman,3.000.000.000,5,350 m²,630 m²
Kalasan, Sleman,2.500.000.000,3,160 m²,115 m²
Ngaglik, Sleman,1.700.000.000,4,100 m²,145 m²
Depok, Sleman,2.250.000.000,4,204 m²,138 m²
Depok, Sleman,1.650.000.000,4,115 m²,108 m²
Depok, Sleman,975.000.000,3,100 m²,165 m²
Mlati, Sleman,725.000.000,3,100 m²,114 m²
Kalasan, Sleman,2.510.200.000,1,48 m²,1141 m²
Kalasan, Sleman,750.000.000,3,81 m²,150 m²
Caturtunggal, Sleman,360.000.000,2,52 m²,60 m²
Kalasan, Sleman,601.000.000,2,45 m²,85 m²
Ngaglik, Sleman,515.000.000,2,45 m²,123 m²
Depok, Sleman,1.600.000.000,8,200 m²,331 m²
Berbah, Sleman,450.000.000,2,45 m²,90 m²
Mlati, Sleman,1.350.000.000,4,200 m²,94 m²
Ngaglik, Sleman,1.300.000.000,3,70 m²,202 m²
Ngaglik, Sleman,900.000.000,3,100 m²,90 m²
Kasihan, Bantul,850.000.000,4,120 m²,120 m²
Ngaglik, Sleman,7.500.000.000,4,198 m²,1114 m²
Ngaglik, Sleman,1.199.000.000,4,70 m²,153 m²
Mlati, Sleman,1.650.000.000,12,354 m²,302 m²
Ngaglik, Sleman,660.000.000,3,75 m²,140 m²
Ngemplak, Sleman,550.000.000,3,77 m²,135 m²
Ngaglik, Sleman,775.000.000,3,100 m²,91 m²
Purwo martani, Sleman,675.000.000,3,70 m²,90 m²
Kalasan, Sleman,625.000.000,3,65 m²,625 m²
Prambanan, Sleman,650.000.000,3,90 m²,185 m²
Prambanan, Sleman,650.000.000,3,90 m²,185 m²
Purwo martani, Sleman,675.000.000,3,70 m²,90 m²
Mlati, Sleman,1.400.000.000,4,130 m²,110 m²
Depok, Sleman,1.500.000.000,4,180 m²,226 m²
Banguntapan, Bantul,385.000.000,2,40 m²,65 m²
Kasihan, Bantul,350.000.000,2,45 m²,99 m²
Depok, Sleman,1.450.000.000,4,140 m²,125 m²
Gamping, Sleman,2.250.000.000,5,260 m²,138 m²
Ngemplak, Sleman,1.750.000.000,3,62 m²,130 m²
Depok, Sleman,1.750.000.000,4,100 m²,146 m²
Caturtunggal, Sleman,1.850.000.000,5,170 m²,111 m²
Sedayu, Bantul,465.000.000,3,45 m²,80 m²
Depok, Sleman,1.500.000.000,4,225 m²,225 m²
Ngemplak, Sleman,2.000.000.000,4,200 m²,260 m²
Ngaglik, Sleman,2.000.000.000,5,150 m²,98 m²
Tegalrejo, Yogyakarta,5.600.000.000,7,350 m²,336 m²
Umbulharjo, Yogyakarta,3.500.000.000,4,170 m²,480 m²
Ngaglik, Sleman,2.750.000.000,8,300 m²,988 m²
Depok, Sleman,550.000.000,2,55 m²,95 m²
Depok, Sleman,1.750.000.000,4,180 m²,121 m²
Maguwoharjo, Sleman,1.900.000.000,5,145 m²,164 m²
Depok, Sleman,1.550.000.000,4,300 m²,160 m²
Ngaglik, Sleman,1.700.000.000,5,200 m²,113 m²
Piyungan, Bantul,320.000.000,1,54 m²,68 m²
Ngaglik, Sleman,1.500.000.000,4,180 m²,197 m²
Ngaglik, Sleman,650.000.000,3,70 m²,100 m²
Mlati, Sleman,2.050.000.000,4,159 m²,220 m²
Ngaglik, Sleman,1.250.000.000,3,110 m²,110 m²
Gamping, Sleman,890.000.000,3,70 m²,106 m²
Depok, Sleman,1.550.000.000,4,300 m²,160 m²
Ngaglik, Sleman,650.000.000,3,70 m²,100 m²
Depok, Sleman,1.350.000.000,3,100 m²,94 m²
Ngemplak, Sleman,1.500.000.000,8,150 m²,115 m²
Wirobrajan, Yogyakarta,1.600.000.000,3,130 m²,140 m²
Depok, Sleman,360.000.000,2,65 m²,60 m²
Kalasan, Sleman,490.000.000,2,70 m²,145 m²
Kasihan, Bantul,383.000.000,2,45 m²,70 m²
Gamping, Sleman,1.500.000.000,3,86 m²,128 m²
Depok, Sleman,1.100.000.000,4,200 m²,103 m²
Banguntapan, Bantul,785.000.000,2,63 m²,115 m²
Banguntapan, Bantul,400.000.000,2,36 m²,60 m²
Gamping, Sleman,985.000.000,3,97 m²,129 m²
Kalasan, Sleman,550.000.000,3,56 m²,130 m²
Gamping, Sleman,650.000.000,3,80 m²,111 m²
Mlati, Sleman,3.100.000.000,3,250 m²,701 m²
Sedayu, Bantul,,2,40 m²,103 m²
Depok, Sleman,1.390.000.000,3,100 m²,107 m²
Sleman, Sleman,625.000.000,3,65 m²,114 m²
Ngaglik, Sleman,2.000.000.000,4,180 m²,265 m²
Depok, Sleman,750.000.000,2,54 m²,80 m²
Banguntapan, Bantul,950.000.000,3,100 m²,136 m²
Depok, Sleman,10.000.000.000,10,380 m²,1780 m²
Sleman, Sleman,699.000.000,3,60 m²,120 m²
Mlati, Sleman,6.000.000.000,4,300 m²,400 m²
Ngemplak, Sleman,950.000.000,4,110 m²,128 m²
Ngaglik, Sleman,1.650.000.000,3,140 m²,142 m²
Banguntapan, Bantul,1.750.000.000,3,178 m²,126 m²
Mlati, Sleman,8.000.000.000,14,200 m²,751 m²
Kalasan, Sleman,730.000.000,3,55 m²,116 m²
Kalasan, Sleman,895.000.000,3,73 m²,134 m²
Ngaglik, Sleman,2.500.000.000,3,74 m²,212 m²
Ngaglik, Sleman,1.900.000.000,4,130 m²,170 m²
Mlati, Sleman,6.000.000.000,4,300 m²,400 m²
Depok, Sleman,10.000.000.000,10,380 m²,1780 m²
Sleman, Sleman,1.549.999.900,3,131 m²,387 m²
Sleman, Sleman,699.000.000,3,60 m²,120 m²
Kalasan, Sleman,813.000.000,3,65 m²,120 m²
Depok, Sleman,585.000.000,2,50 m²,108 m²
Depok, Sleman,750.000.000,2,70 m²,92 m²
Kalasan, Sleman,1.250.000.000,3,100 m²,135 m²
Ngaglik, Sleman,1.250.000.000,3,100 m²,126 m²
Sleman, Sleman,900.000.000,9,230 m²,250 m²
Kalasan, Sleman,1.495.000.000,4,134 m²,152 m²
Banguntapan, Bantul,595.000.000,3,70 m²,158 m²
Ngaglik, Sleman,1.699.000.000,4,125 m²,145 m²
Mlati, Sleman,1.575.000.000,3,116 m²,118 m²
Mlati, Sleman,1.700.000.000,3,90 m²,147 m²
Gamping, Sleman,850.000.000,3,90 m²,125 m²
Gamping, Sleman,2.685.000.000,6,254 m²,210 m²
Mlati, Sleman,2.499.999.999,5,200 m²,160 m²
Sedayu, Bantul,425.000.000,2,36 m²,85 m²
Banguntapan, Bantul,650.000.000,2,70 m²,105 m²
Ngaglik, Sleman,930.000.000,3,100 m²,120 m²
Purwo martani, Sleman,675.000.000,3,70 m²,90 m²
Mlati, Sleman,3.900.000.000,5,250 m²,210 m²
Depok, Sleman,2.200.000.000,3,200 m²,170 m²
Mlati, Sleman,6.000.000.000,6,400 m²,374 m²
Ngaglik, Sleman,899.000.000,10,300 m²,606 m²
Godean, Sleman,875.000.000,3,100 m²,230 m²
Mlati, Sleman,1.400.000.000,3,80 m²,114 m²
Ngaglik, Sleman,3.000.000.000,5,350 m²,486 m²
Pakem, Sleman,850.000.000,2,100 m²,706 m²
Sleman,,635.000.000,2,65 m²,102 m²
Caturtunggal, Sleman,2.300.000.000,4,200 m²,230 m²
Ngaglik, Sleman,2.000.000.000,4,169 m²,230 m²
Mlati, Sleman,575.000.000,3,60 m²,100 m²
Banguntapan, Bantul,750.000.000,4,80 m²,110 m²
Gamping, Sleman,2.300.000.000,3,180 m²,135 m²
Caturtunggal, Sleman,4.500.000.000,6,400 m²,287 m²
Ngaglik, Sleman,5.500.000.000,4,212 m²,180 m²
Kasihan, Bantul,445.000.000,2,40 m²,82 m²
Kalasan, Sleman,580.000.000,3,70 m²,109 m²
Ngaglik, Sleman,750.000.000,3,70 m²,109 m²
Ngaglik, Sleman,850.000.000,3,91 m²,100 m²
Mlati, Sleman,806.000.000,3,70 m²,115 m²
Depok, Sleman,4.000.000.000,4,188 m²,201 m²
Kalasan, Sleman,950.000.000,4,100 m²,120 m²
Gamping, Sleman,3.175.000.000,5,187 m²,187 m²
Caturtunggal, Sleman,1.680.000.000,4,108 m²,115 m²
Banguntapan, Bantul,850.000.000,3,90 m²,114 m²
Gamping, Sleman,3.175.000.000,5,187 m²,187 m²
Depok, Sleman,4.750.000.000,5,300 m²,296 m²
Ngaglik, Sleman,750.000.000,3,70 m²,109 m²
Depok, Sleman,15.000.000.000,6,600 m²,1020 m²
Umbulharjo, Yogyakarta,7.000.000.000,42,732 m²,732 m²
Wirobrajan, Yogyakarta,5.000.000.000,5,450 m²,535 m²
Depok, Sleman,6.000.000.000,4,300 m²,400 m²
Caturtunggal, Sleman,1.500.000.000,3,130 m²,134 m²
Depok, Sleman,1.600.000.000,4,165 m²,125 m²
Mlati, Sleman,985.000.000,3,70 m²,161 m²
Ngaglik, Sleman,8.500.000.000,4,581 m²,551 m²
Depok, Sleman,12.500.000.000,6,400 m²,890 m²
Caturtunggal, Sleman,3.200.000.000,6,338 m²,135 m²
Prambanan, Sleman,475.000.000,2,45 m²,100 m²
Ngaglik, Sleman,1.800.000.000,4,150 m²,141 m²
Ngaglik, Sleman,2.350.000.000,4,180 m²,156 m²
Kasihan, Bantul,869.000.000,3,91 m²,110 m²
Gamping, Sleman,2.500.000.000,4,180 m²,150 m²
Sedayu, Bantul,350.000.000,2,40 m²,101 m²
Sedayu, Bantul,2.850.000.000,4,190 m²,700 m²
Ngaglik, Sleman,540.000.000,2,65 m²,136 m²
Banguntapan, Bantul,5.000.000.000,7,450 m²,740 m²
Kalasan, Sleman,630.000.000,3,60 m²,100 m²
Ngaglik, Sleman,2.100.000.000,5,160 m²,172 m²
Ngaglik, Sleman,1.500.000.000,5,120 m²,124 m²
Gamping, Sleman,1.800.000.000,5,350 m²,407 m²
Kalasan, Sleman,580.000.000,3,80 m²,140 m²
Ngaglik, Sleman,685.000.000,3,90 m²,115 m²
Ngaglik, Sleman,1.600.000.000,3,150 m²,238 m²
Mlati, Sleman,685.000.000,3,60 m²,109 m²
Sedayu, Bantul,800.000.000,3,120 m²,92 m²
Ngaglik, Sleman,800.000.000,4,150 m²,160 m²
Depok, Sleman,2.500.000.000,4,170 m²,219 m²
Sedayu, Bantul,807.000.000,2,50 m²,105 m²
Ngaglik, Sleman,5.500.000.000,4,320 m²,275 m²
Ngaglik, Sleman,1.000.000.000,3,80 m²,140 m²
Gamping, Sleman,1.600.000.000,3,160 m²,130 m²
Mlati, Sleman,850.000.000,3,115 m²,100 m²
Ngaglik, Sleman,4.999.999.999,6,380 m²,260 m²
Mlati, Sleman,2.100.000.000,4,300 m²,360 m²
Banguntapan, Bantul,1.300.000.000,3,65 m²,137 m²
Danurejan, Yogyakarta,900.000.000,4,160 m²,986 m²
Mlati, Sleman,650.000.000,2,70 m²,100 m²
Mlati, Sleman,756.000.000,3,70 m²,115 m²
Ngaglik, Sleman,1.300.000.000,3,70 m²,202 m²
Ngemplak, Sleman,950.000.000,4,110 m²,128 m²
Kasihan, Bantul,550.000.000,2,100 m²,104 m²
Pleret, Bantul,755.000.000,3,80 m²,90 m²
Ngaglik, Sleman,1.040.000.000,5,119 m²,119 m²
Mlati, Sleman,5.000.000.000,4,278 m²,314 m²
Ngaglik, Sleman,1.400.000.000,4,156 m²,143 m²
Mlati, Sleman,699.000.000,3,60 m²,120 m²
Banguntapan, Bantul,425.000.000,3,70 m²,70 m²
Banguntapan, Bantul,2.300.000.000,4,300 m²,267 m²
Banguntapan, Bantul,900.000.000,3,130 m²,150 m²
Ngaglik, Sleman,1.600.000.000,7,160 m²,180 m²
Kasihan, Bantul,1.400.000.000,4,101 m²,150 m²
Ngaglik, Sleman,750.000.000,3,70 m²,125 m²
Mlati, Sleman,1.600.000.000,3,130 m²,387 m²
Mlati, Sleman,5.000.000.000,4,278 m²,314 m²
Ngaglik, Sleman,1.400.000.000,4,156 m²,143 m²
Pleret, Bantul,755.000.000,3,80 m²,90 m²
Umbulharjo, Yogyakarta,3.699.999.900,5,300 m²,140 m²
Ngaglik, Sleman,1.350.000.000,3,70 m²,132 m²
Gamping, Sleman,799.000.000,4,120 m²,155 m²
Ngaglik, Sleman,600.000.000,3,90 m²,104 m²
Mlati, Sleman,550.000.000,3,58 m²,86 m²
Condong Catur, Sleman,1.250.000.000,4,120 m²,106 m²
Ngaglik, Sleman,1.575.000.000,4,150 m²,110 m²
Ngaglik, Sleman,4.000.000.000,5,400 m²,370 m²
Kalasan, Sleman,1.700.000.000,5,150 m²,262 m²
Sleman,,3.900.000.000,5,325 m²,797 m²
Ngemplak, Sleman,468.000.000,2,40 m²,70 m²
Kalasan, Sleman,590.000.000,3,80 m²,125 m²
Ngaglik, Sleman,4.000.000.000,10,200 m²,495 m²
Ngaglik, Sleman,4.300.000.000,6,601 m²,497 m²
Ngaglik, Sleman,9.500.000.000,4,400 m²,1059 m²
Depok, Sleman,875.000.000,3,150 m²,100 m²
Mlati, Sleman,1.225.000.000,3,63 m²,127 m²
Depok, Sleman,1.400.000.000,3,120 m²,106 m²
Ngaglik, Sleman,1.950.000.000,4,183 m²,250 m²
Ngaglik, Sleman,2.400.000.000,5,261 m²,213 m²
Ngaglik, Sleman,3.700.000.000,6,246 m²,283 m²
Depok, Sleman,1.400.000.000,4,144 m²,144 m²
Sewon, Bantul,2.100.000.000,5,300 m²,566 m²
Ngaglik, Sleman,3.700.000.000,6,246 m²,283 m²
Depok, Sleman,875.000.000,3,150 m²,100 m²
Ngaglik, Sleman,9.500.000.000,4,400 m²,1059 m²
Mlati, Sleman,1.225.000.000,3,63 m²,127 m²
Kalasan, Sleman,590.000.000,3,80 m²,125 m²
Mlati, Sleman,9.500.000.000,3,400 m²,1059 m²
Kalasan, Sleman,694.000.000,2,65 m²,101 m²
Depok, Sleman,3.350.000.000,4,157 m²,168 m²
Gamping, Sleman,1.300.000.000,2,120 m²,112 m²
Gamping, Sleman,880.000.000,3,100 m²,140 m²
Gamping, Sleman,750.000.000,3,60 m²,110 m²
Kalasan, Sleman,510.000.000,3,85 m²,145 m²
Sleman,,650.000.000,3,80 m²,132 m²
Yogyakarta,,2.455.000.000,4,210 m²,190 m²
Ngaglik, Sleman,9.000.000.000,4,216 m²,260 m²
Ngaglik, Sleman,1.750.000.000,4,180 m²,201 m²
Mlati, Sleman,5.000.000.000,4,256 m²,314 m²
Mlati, Sleman,617.000.000,2,45 m²,104 m²
Ngaglik, Sleman,1.850.000.000,10,180 m²,200 m²
Sleman,,925.000.000,3,70 m²,216 m²
Banguntapan, Bantul,599.999.995,3,60 m²,90 m²
Ngaglik, Sleman,750.000.000,2,65 m²,100 m²
Sleman, Sleman,675.000.000,2,50 m²,150 m²
Ngaglik, Sleman,650.000.000,3,140 m²,91 m²
Depok, Sleman,725.000.000,3,90 m²,130 m²
Depok, Sleman,5.500.000.000,7,300 m²,825 m²
Mlati, Sleman,570.000.000,2,50 m²,70 m²
Kasihan, Bantul,2.848.175.000,4,190 m²,290 m²
Gamping, Sleman,800.000.000,3,70 m²,102 m²
Gamping, Sleman,6.000.000.000,6,430 m²,510 m²
Kasihan, Bantul,2.848.175.000,4,190 m²,290 m²
Gamping, Sleman,800.000.000,3,70 m²,102 m²
Depok, Sleman,2.500.000.000,5,204 m²,138 m²
Ngaglik, Sleman,1.800.000.000,4,150 m²,180 m²
Kalasan, Sleman,750.000.000,3,75 m²,150 m²
Kalasan, Sleman,585.000.000,2,57 m²,110 m²
Mlati, Sleman,2.900.000.000,4,168 m²,418 m²
Mlati, Sleman,2.800.000.000,4,169 m²,137 m²
Depok, Sleman,2.150.000.000,3,165 m²,135 m²
Sleman,,850.000.000,3,78 m²,100 m²
Kalasan, Sleman,2.300.000.000,3,126 m²,160 m²
Banguntapan, Bantul,1.300.000.000,5,160 m²,180 m²
Mlati, Sleman,2.150.000.000,4,150 m²,221 m²
Ngaglik, Sleman,685.000.000,3,68 m²,151 m²
Depok, Sleman,750.000.000,3,130 m²,75 m²
Sedayu, Bantul,350.000.000,2,90 m²,100 m²
Mlati, Sleman,1.600.000.000,3,90 m²,134 m²
Ngaglik, Sleman,1.600.000.000,4,170 m²,110 m²
Gamping, Sleman,6.000.000.000,6,430 m²,510 m²
Condong Catur, Sleman,670.000.000,3,74 m²,110 m²
Depok, Sleman,16.000.000.000,8,1250 m²,1420 m²
Kalasan, Sleman,2.300.000.000,4,300 m²,267 m²
Umbulharjo, Yogyakarta,445.000.000,2,50 m²,73 m²
Ngaglik, Sleman,1.600.000.000,4,200 m²,155 m²
Ngaglik, Sleman,1.350.000.000,3,120 m²,120 m²
Pakem, Sleman,1.400.000.000,4,130 m²,227 m²
Sleman, Sleman,585.302.366,2,57 m²,118 m²
Kalasan, Sleman,3.500.000.000,5,231 m²,180 m²
Kalasan, Sleman,1.350.000.000,5,175 m²,118 m²
Sleman,,788.000.000,4,120 m²,169 m²
Sedayu, Bantul,350.000.000,2,90 m²,100 m²
Mlati, Sleman,2.800.000.000,4,169 m²,137 m²
Sleman,,788.000.000,4,120 m²,169 m²
Kalasan, Sleman,3.500.000.000,5,231 m²,180 m²
Kalasan, Sleman,1.350.000.000,5,175 m²,118 m²
Gamping, Sleman,620.000.000,3,120 m²,106 m²
Sleman,,600.000.000,2,90 m²,125 m²
Umbulharjo, Yogyakarta,445.000.000,2,50 m²,73 m²
Ngaglik, Sleman,1.300.000.000,2,120 m²,213 m²
Ngaglik, Sleman,1.600.000.000,4,200 m²,155 m²
Mlati, Sleman,950.000.000,3,100 m²,125 m²
Ngaglik, Sleman,1.350.000.000,3,120 m²,120 m²
Pakem, Sleman,1.400.000.000,4,130 m²,227 m²
Condong Catur, Sleman,12.000.000.000,7,350 m²,1771 m²
Sleman, Sleman,585.302.366,2,57 m²,118 m²
Condong Catur, Sleman,295.000.000,2,40 m²,113 m²
Mlati, Sleman,580.000.000,2,50 m²,107 m²
Gamping, Sleman,3.600.000.000,3,250 m²,240 m²
Ngaglik, Sleman,3.000.000.000,5,300 m²,780 m²
Sleman,,650.000.000,3,90 m²,132 m²
Depok, Sleman,6.500.000.000,5,444 m²,333 m²
Ngaglik, Sleman,2.600.000.000,4,350 m²,486 m²
Ngaglik, Sleman,2.400.000.000,4,400 m²,236 m²
Gamping, Sleman,850.000.000,3,90 m²,129 m²
Gamping, Sleman,1.400.000.000,4,190 m²,95 m²
Gamping, Sleman,1.300.000.000,3,110 m²,140 m²
Ngaglik, Sleman,2.500.000.000,5,252 m²,250 m²
Ngaglik, Sleman,5.900.000.000,5,265 m²,300 m²
Ngaglik, Sleman,550.000.000,3,80 m²,104 m²
Gamping, Sleman,750.000.000,3,60 m²,144 m²
Sedayu, Bantul,546.632.000,2,45 m²,95 m²
Depok, Sleman,1.500.000.000,3,130 m²,133 m²
Banguntapan, Bantul,850.000.000,4,125 m²,105 m²
Ngaglik, Sleman,950.000.000,3,90 m²,114 m²
Ngaglik, Sleman,999.000.000,3,100 m²,103 m²
Ngaglik, Sleman,1.100.000.000,3,120 m²,211 m²
Gamping, Sleman,545.000.000,2,112 m²,112 m²
Mlati, Sleman,9.500.000.000,5,400 m²,530 m²
Depok, Sleman,8.700.000.000,5,500 m²,1256 m²
Depok, Sleman,1.650.000.000,4,108 m²,115 m²
Ngaglik, Sleman,1.800.000.000,3,110 m²,158 m²
Depok, Sleman,1.600.000.000,3,130 m²,106 m²
Ngaglik, Sleman,5.100.000.000,4,212 m²,180 m²
Ngaglik, Sleman,2.100.000.000,4,127 m²,126 m²
Ngemplak, Sleman,875.000.000,3,150 m²,100 m²
Depok, Sleman,675.000.000,3,80 m²,128 m²
Mlati, Sleman,680.000.000,2,70 m²,121 m²
Mlati, Sleman,1.000.000.000,3,150 m²,113 m²
Depok, Sleman,12.500.000.000,6,680 m²,504 m²
Depok, Sleman,1.900.000.000,12,270 m²,140 m²
Ngaglik, Sleman,695.000.000,3,70 m²,120 m²
Depok, Sleman,1.500.000.000,4,130 m²,142 m²
Depok, Sleman,680.000.000,3,99 m²,99 m²
Kalasan, Sleman,890.000.000,4,120 m²,110 m²
Banguntapan, Bantul,490.000.000,2,45 m²,80 m²
Caturtunggal, Sleman,2.700.000.000,3,180 m²,230 m²
Depok, Sleman,8.000.000.000,4,369 m²,850 m²
Pakem, Sleman,5.000.000.000,5,500 m²,2417 m²
Depok, Sleman,7.700.000.000,6,475 m²,518 m²
Ngaglik, Sleman,1.300.000.000,3,80 m²,152 m²
Ngaglik, Sleman,650.000.000,3,76 m²,127 m²
